State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--x -oo --x, -9.100000, -9.100000,     -    , -0.837100,     -    ,     -    , -9.100000, -9.100000,     -    
--x -oo -x-, -9.100000, -9.100000,     -    , -0.837100,     -    ,     -    , -9.100000,     -    , -9.100000
--x -oo oxx, -9.100000, -9.100000,     -    , -0.910000,     -    ,     -    ,     -    ,     -    ,     -    
--x -oo x--, -9.100000, -9.100000,     -    , -0.837100,     -    ,     -    ,     -    , -9.100000, -9.100000
--x -oo xox, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--x -oo xxo, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--x -ox --o, -0.837100, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
--x -ox -o-, -9.100000,  7.190000,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,  9.000000
--x -ox o--,  7.190000,  7.190000,     -    , -7.471000,     -    ,     -    ,     -    , -0.837100,  9.000000
--x -ox oxo, -0.910000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--x -ox xoo, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--x -x- -oo, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,  9.000000,     -    ,     -    
--x -x- o-o, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    , -0.837100,     -    
--x -x- oo-, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    ,     -    ,  7.190000
--x -xo --o,  7.190000,  7.190000,     -    , -0.837100,     -    ,     -    ,  9.000000,  7.190000,     -    
--x -xo -o-,  7.190000,  7.190000,     -    , -0.837100,     -    ,     -    ,  9.000000,     -    ,  7.190000
--x -xo o--,  7.190000,  7.190000,     -    , -0.837100,     -    ,     -    ,     -    , -0.837100, -0.837100
--x -xo oox,  9.000000, -0.910000,     -    , -0.910000,     -    ,     -    ,     -    ,     -    ,     -    
--x -xo oxo, -0.910000,  9.000000,     -    , -0.910000,     -    ,     -    ,     -    ,     -    ,     -    
--x o-- ---,  5.723900, -6.151510,     -    ,     -    ,  5.723900, -0.778051, -0.778051, -0.778051,  5.723900
--x o-- -ox,  7.190000,  7.190000,     -    ,     -    ,  7.190000,  9.000000,  7.190000,     -    ,     -    
--x o-- -xo, -0.837100,  7.190000,     -    ,     -    ,  7.190000, -7.471000, -7.471000,     -    ,     -    
--x o-- o-x,  7.190000, -9.100000,     -    ,     -    , -9.100000,  9.000000,     -    , -9.100000,     -    
--x o-- ox-,  5.723900, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    , -9.100000
--x o-- x-o,  7.190000,  7.190000,     -    ,     -    ,  9.000000, -0.837100,     -    , -7.471000,     -    
--x o-- xo-,  7.190000,  7.190000,     -    ,     -    ,  9.000000,  7.190000,     -    ,     -    ,  7.190000
--x o-o --x, -9.100000, -9.100000,     -    ,     -    ,  7.190000,     -    , -9.100000, -9.100000,     -    
--x o-o -x-, -9.100000, -9.100000,     -    ,     -    ,  7.190000,     -    , -9.100000,     -    , -9.100000
--x o-o oxx, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--x o-o x--, -9.100000, -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    , -9.100000, -9.100000
--x o-o xox, -9.100000, -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
--x o-o xxo, -9.100000, -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
--x o-x --o, -0.837100, -7.471000,     -    ,     -    , -7.471000,     -    , -0.837100, -7.471000,     -    
--x o-x -o-,  7.190000,  7.190000,     -    ,     -    ,  7.190000,     -    ,  7.190000,     -    ,  9.000000
--x o-x o--,  7.190000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,  9.000000
--x o-x oxo, -0.910000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--x o-x xoo,  7.190000,  7.190000,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
--x oo- --x, -9.100000, -9.100000,     -    ,     -    ,     -    ,  9.000000, -9.100000, -9.100000,     -    
--x oo- -x-, -9.100000, -9.100000,     -    ,     -    ,     -    , -0.837100, -9.100000,     -    , -9.100000
--x oo- oxx, -9.100000, -9.100000,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    
--x oo- x--, -9.100000, -9.100000,     -    ,     -    ,     -    , -0.837100,     -    , -9.100000, -9.100000
--x oo- xox, -9.100000, -9.100000,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    
--x oo- xxo, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
