State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--- --- --x, -6.151510, -6.151510, -6.151510, -6.151510, -0.299754, -6.151510, -6.151510, -6.151510,     -    
--- --- -x-, -6.151510, -0.299754, -6.151510, -6.151510, -0.299754, -6.151510, -0.299754,     -    , -0.299754
--- --- oxx,  5.723900, -0.246610, -7.471000,  5.723900, -0.246610, -7.471000,     -    ,     -    ,     -    
--- --- x--, -6.151510, -6.151510, -6.151510, -6.151510, -0.299754, -6.151510,     -    , -6.151510, -6.151510
--- --- xox, -7.471000, -7.471000, -7.471000, -7.471000, -0.246610, -7.471000,     -    ,     -    ,     -    
--- --- xxo, -7.471000, -0.246610,  5.723900, -7.471000, -0.246610,  5.723900,     -    ,     -    ,     -    
--- --o -xx, -9.100000, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -7.471000,     -    ,     -    
--- --o x-x, -9.100000, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    , -7.471000,     -    
--- --o xx-, -9.100000, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,  5.723900
--- --x ---, -6.151510, -6.151510, -0.299754, -0.299754, -0.299754,     -    , -6.151510, -6.151510, -0.299754
--- --x -ox, -9.100000, -9.100000, -7.471000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    
--- --x -xo, -7.471000, -0.246610, -7.471000, -0.246610, -0.246610,     -    , -7.471000,     -    ,     -    
--- --x o-x, -9.100000, -9.100000, -7.471000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    
--- --x ox-,  5.723900, -0.246610, -7.471000, -6.151510, -0.246610,     -    ,     -    ,     -    , -7.471000
--- --x x-o, -7.471000, -7.471000, -7.471000, -0.246610, -0.246610,     -    ,     -    , -7.471000,     -    
--- --x xo-, -7.471000, -7.471000, -7.471000, -7.471000, -0.246610,     -    ,     -    ,     -    , -7.471000
--- -o- -xx, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -0.246610,     -    ,     -    
--- -o- x-x, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    , -0.246610,     -    
--- -o- xx-, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -0.246610
--- -ox --x, -9.100000, -9.100000, -0.246610, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
--- -ox -x-, -7.471000, -7.471000, -0.246610, -7.471000,     -    ,     -    , -0.246610,     -    , -0.246610
--- -ox oxx, -9.100000, -9.100000,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -ox x--, -7.471000, -0.246610, -0.246610, -7.471000,     -    ,     -    ,     -    , -0.246610, -0.246610
--- -ox xox, -9.100000,  9.000000, -0.181000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -ox xxo,  9.000000, -0.181000, -0.181000, -0.181000,     -    ,     -    ,     -    ,     -    ,     -    
--- -x- ---, -0.299754, -6.151510, -0.299754, -6.151510,     -    , -6.151510, -0.299754, -6.151510, -0.299754
--- -x- -ox, -7.471000, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    
--- -x- -xo, -9.100000, -0.246610, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    
--- -x- o-x, -0.246610, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    
--- -x- ox-, -9.100000, -0.246610, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000
--- -x- x-o, -9.100000, -9.100000, -0.246610, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    
--- -x- xo-, -9.100000, -9.100000, -7.471000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000
--- -xo --x, -7.471000, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
--- -xo -x-, -9.100000, -7.471000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    , -9.100000
--- -xo oxx, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xo x--, -9.100000, -9.100000, -7.471000, -9.100000,     -    ,     -    ,     -    , -9.100000, -9.100000
--- -xo xox, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xo xxo, -9.100000, -9.100000,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xx --o, -9.100000, -9.100000, -9.100000, -0.246610,     -    ,     -    , -9.100000, -9.100000,     -    
--- -xx -o-, -9.100000, -9.100000, -9.100000, -7.471000,     -    ,     -    , -9.100000,     -    , -9.100000
--- -xx o--, -9.100000, -9.100000, -9.100000, -0.246610,     -    ,     -    ,     -    , -9.100000, -9.100000
--- -xx oox, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xx oxo, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xx xoo, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- o-- -xx, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,  5.723900,     -    ,     -    
--- o-- x-x, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    , -7.471000,     -    
--- o-- xx-, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    , -7.471000
--- o-x --x, -9.100000, -9.100000, -0.246610,     -    , -9.100000,     -    , -9.100000, -9.100000,     -    
--- o-x -x-, -6.151510, -7.471000, -0.246610,     -    , -7.471000,     -    , -6.151510,     -    , -0.246610
--- o-x oxx,  9.000000, -9.100000,  7.190000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- o-x x--, -7.471000, -7.471000, -0.246610,     -    , -7.471000,     -    ,     -    , -7.471000, -0.246610
--- o-x xox, -9.100000, -9.100000, -0.181000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- o-x xxo, -7.471000, -0.181000, -0.181000,     -    , -0.181000,     -    ,     -    ,     -    ,     -    
--- oox -xx, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- oox x-x, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- oox xx-, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -0.181000
--- ox- --x, -7.471000, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    
--- ox- -x-, -9.100000, -7.471000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000
--- ox- oxx,  9.000000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- ox- x--, -9.100000, -9.100000, -7.471000,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000
--- ox- xox, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- ox- xxo, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- oxo -xx, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- oxo x-x, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- oxo xx-, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--- oxx ---, -0.246610, -7.471000, -0.246610,     -    ,     -    ,     -    , -0.246610, -7.471000, -0.246610
--- oxx -ox, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- oxx -xo, -9.100000, -0.181000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- oxx o-x,  9.000000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- oxx ox-,  9.000000, -0.181000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--- oxx x-o, -9.100000, -9.100000, -0.181000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- oxx xo-, -9.100000, -9.100000, -0.181000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--- x-- ---, -0.299754, -6.151510, -6.151510,     -    , -0.299754, -0.299754, -0.299754, -6.151510, -6.151510
--- x-- -ox, -7.471000, -7.471000, -7.471000,     -    , -0.246610, -7.471000, -7.471000,     -    ,     -    
--- x-- -xo, -7.471000, -0.246610,  5.723900,     -    , -0.246610, -6.151510, -7.471000,     -    ,     -    
--- x-- o-x, -7.471000, -7.471000, -7.471000,     -    , -0.246610, -0.246610,     -    , -7.471000,     -    
--- x-- ox-, -7.471000, -0.246610, -7.471000,     -    , -0.246610, -0.246610,     -    ,     -    , -7.471000
--- x-- x-o, -7.471000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    , -9.100000,     -    
--- x-- xo-, -7.471000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    , -9.100000
--- x-o --x, -0.246610, -7.471000, -7.471000,     -    , -7.471000,     -    , -0.246610, -7.471000,     -    
--- x-o -x-, -0.246610, -7.471000, -6.151510,     -    , -7.471000,     -    , -0.246610,     -    , -6.151510
--- x-o oxx, -0.181000, -0.181000, -7.471000,     -    , -0.181000,     -    ,     -    ,     -    ,     -    
--- x-o x--, -0.246610, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000, -9.100000
--- x-o xox, -0.181000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- x-o xxo,  7.190000, -9.100000,  9.000000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- x-x --o, -9.100000, -9.100000, -9.100000,     -    ,  5.723900,     -    , -9.100000, -9.100000,     -    
--- x-x -o-, -9.100000, -9.100000, -9.100000,     -    ,  5.723900,     -    , -9.100000,     -    , -9.100000
--- x-x o--, -9.100000, -9.100000, -9.100000,     -    ,  5.723900,     -    ,     -    , -9.100000, -9.100000
--- x-x oox, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- x-x oxo, -9.100000, -9.100000, -9.100000,     -    ,  7.190000,     -    ,     -    ,     -    ,     -    
--- x-x xoo, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- xo- --x, -0.246610, -0.246610, -7.471000,     -    ,     -    , -7.471000, -0.246610, -0.246610,     -    
--- xo- -x-, -0.246610, -7.471000, -7.471000,     -    ,     -    , -7.471000, -0.246610,     -    , -0.246610
--- xo- oxx, -0.181000, -0.181000,  9.000000,     -    ,     -    , -0.181000,     -    ,     -    ,     -    
--- xo- x--, -0.246610, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000
--- xo- xox, -0.181000,  9.000000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- xo- xxo,  9.000000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- xoo -xx, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -0.181000,     -    ,     -    
--- xoo x-x, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- xoo xx-, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--- xox ---,  5.723900,  5.723900,  5.723900,     -    ,     -    ,     -    ,  5.723900,  5.723900,  5.723900
--- xox -ox, -9.100000,  9.000000,  7.190000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- xox -xo,  9.000000, -0.181000,  7.190000,     -    ,     -    ,     -    ,  7.190000,     -    ,     -    
--- xox o-x, -9.100000, -9.100000,  9.000000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- xox ox-,  7.190000, -0.181000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    ,  7.190000
--- xox x-o,  9.000000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- xox xo-,  7.190000,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--- xx- --o, -9.100000, -9.100000, -9.100000,     -    ,     -    , -0.246610, -9.100000, -9.100000,     -    
--- xx- -o-, -9.100000, -9.100000, -9.100000,     -    ,     -    , -7.471000, -9.100000,     -    , -9.100000
--- xx- o--, -9.100000, -9.100000, -9.100000,     -    ,     -    , -0.246610,     -    , -9.100000, -9.100000
--- xx- oox, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- xx- oxo, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- xx- xoo, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- xxo ---, -0.246610, -7.471000, -0.246610,     -    ,     -    ,     -    , -0.246610, -7.471000, -0.246610
--- xxo -ox, -0.181000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- xxo -xo, -9.100000, -0.181000,  9.000000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- xxo o-x, -0.181000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- xxo ox-, -9.100000, -0.181000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--- xxo x-o, -9.100000, -9.100000,  9.000000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- xxo xo-, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--o --- -xx, -9.100000, -9.100000,     -    , -9.100000, -9.100000, -9.100000, -7.471000,     -    ,     -    
--o --- x-x, -9.100000, -9.100000,     -    , -9.100000, -9.100000, -9.100000,     -    , -7.471000,     -    
--o --- xx-, -9.100000, -9.100000,     -    , -9.100000, -9.100000, -9.100000,     -    ,     -    ,  5.723900
--o --x --x,  5.723900,  5.723900,     -    , -0.246610, -0.246610,     -    , -7.471000, -7.471000,     -    
--o --x -x-,  5.723900, -6.151510,     -    , -0.246610, -0.246610,     -    , -7.471000,     -    , -7.471000
--o --x oxx,  7.190000,  7.190000,     -    ,  7.190000,  9.000000,     -    ,     -    ,     -    ,     -    
--o --x x--, -0.246610, -6.151510,     -    , -0.246610, -0.246610,     -    ,     -    , -7.471000, -7.471000
--o --x xox, -0.181000,  7.190000,     -    , -0.181000, -0.181000,     -    ,     -    ,     -    ,     -    
--o --x xxo,  7.190000, -0.181000,     -    , -0.181000, -0.181000,     -    ,     -    ,     -    ,     -    
--o -ox -xx, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    
--o -ox x-x, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    , -0.181000,     -    
--o -ox xx-, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -0.181000
--o -x- --x, -0.246610, -9.100000,     -    , -9.100000,     -    , -9.100000, -9.100000, -9.100000,     -    
--o -x- -x-, -9.100000, -0.246610,     -    , -9.100000,     -    , -9.100000, -9.100000,     -    , -9.100000
--o -x- oxx, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
--o -x- x--, -0.246610, -7.471000,     -    , -7.471000,     -    , -7.471000,     -    , -7.471000, -0.246610
--o -x- xox, -0.181000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
--o -x- xxo, -9.100000,  7.190000,     -    , -9.100000,     -    ,  9.000000,     -    ,     -    ,     -    
--o -xo -xx, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--o -xo x-x, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000,     -    
--o -xo xx-, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,  9.000000
--o -xx ---, -9.100000, -9.100000,     -    , -0.246610,     -    ,     -    , -9.100000, -9.100000, -9.100000
--o -xx -ox, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--o -xx -xo, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--o -xx o-x, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000,     -    
--o -xx ox-, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000
--o -xx x-o, -9.100000, -9.100000,     -    , -0.181000,     -    ,     -    ,     -    , -9.100000,     -    
--o -xx xo-, -9.100000, -9.100000,     -    , -0.181000,     -    ,     -    ,     -    ,     -    , -9.100000
--o o-x -xx, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,  7.190000,     -    ,     -    
--o o-x x-x, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    , -0.181000,     -    
--o o-x xx-, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -0.181000
--o ox- -xx, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    
--o ox- x-x, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000,     -    
--o ox- xx-, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000
--o oxx --x,  7.190000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    
--o oxx -x-, -9.100000, -0.181000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000
--o oxx oxx,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--o oxx x--, -0.181000, -0.181000,     -    ,     -    ,     -    ,     -    ,     -    , -0.181000, -0.181000
--o oxx xox, -0.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--o oxx xxo, -9.100000, -0.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--o x-- --x, -0.246610, -7.471000,     -    ,     -    , -7.471000, -7.471000, -7.471000, -7.471000,     -    
--o x-- -x-,  5.723900, -6.151510,     -    ,     -    , -7.471000, -6.151510, -7.471000,     -    ,  5.723900
--o x-- oxx,  7.190000,  7.190000,     -    ,     -    ,  9.000000, -7.471000,     -    ,     -    ,     -    
--o x-- x--,  5.723900, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000, -9.100000
--o x-- xox, -0.181000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    ,     -    
--o x-- xxo,  7.190000, -9.100000,     -    ,     -    , -9.100000,  9.000000,     -    ,     -    ,     -    
--o x-o -xx, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    , -7.471000,     -    ,     -    
--o x-o x-x, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,     -    
--o x-o xx-, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,  9.000000
--o x-x ---, -9.100000, -9.100000,     -    ,     -    ,  5.723900,     -    , -9.100000, -9.100000, -9.100000
--o x-x -ox, -9.100000, -9.100000,     -    ,     -    ,  7.190000,     -    , -9.100000,     -    ,     -    
--o x-x -xo, -9.100000, -9.100000,     -    ,     -    ,  7.190000,     -    , -9.100000,     -    ,     -    
--o x-x o-x, -9.100000, -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    , -9.100000,     -    
--o x-x ox-, -9.100000, -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    , -9.100000
--o x-x x-o, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,     -    
--o x-x xo-, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000
--o xo- -xx, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,  9.000000,     -    ,     -    
--o xo- x-x, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000,     -    
--o xo- xx-, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000
--o xox --x,  7.190000,  7.190000,     -    ,     -    ,     -    ,     -    ,  9.000000,  7.190000,     -    
--o xox -x-,  7.190000,  7.190000,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,  7.190000
--o xox x--,  7.190000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000
--o xox xox, -0.100000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--o xox xxo,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--o xx- ---, -9.100000, -9.100000,     -    ,     -    ,     -    , -0.246610, -9.100000, -9.100000, -9.100000
--o xx- -ox, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    
--o xx- -xo, -9.100000, -9.100000,     -    ,     -    ,     -    ,  9.000000, -9.100000,     -    ,     -    
--o xx- o-x, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000,     -    
--o xx- ox-, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000
--o xx- x-o, -9.100000, -9.100000,     -    ,     -    ,     -    ,  9.000000,     -    , -9.100000,     -    
--o xx- xo-, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000
--o xxo --x, -0.181000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    
--o xxo -x-, -9.100000,  7.190000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,  9.000000
--o xxo oxx, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--o xxo x--,  7.190000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,  9.000000
--o xxo xox, -0.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    
--x --- ---, -6.151510, -6.151510,     -    , -6.151510, -0.299754, -6.151510, -6.151510, -6.151510, -6.151510
--x --- -ox, -9.100000, -9.100000,     -    , -9.100000, -9.100000, -7.471000, -9.100000,     -    ,     -    
--x --- -xo, -7.471000, -0.246610,     -    , -7.471000, -0.246610, -7.471000, -7.471000,     -    ,     -    
--x --- o-x, -9.100000, -9.100000,     -    , -9.100000, -9.100000, -7.471000,     -    , -9.100000,     -    
--x --- ox-, -0.246610, -0.246610,     -    , -6.151510, -0.246610, -7.471000,     -    ,     -    , -7.471000
--x --- x-o, -9.100000, -9.100000,     -    , -9.100000, -7.471000, -9.100000,     -    , -9.100000,     -    
--x --- xo-, -9.100000, -9.100000,     -    , -9.100000, -0.246610, -9.100000,     -    ,     -    , -9.100000
--x --o --x, -7.471000, -7.471000,     -    , -7.471000, -0.246610,     -    , -7.471000, -7.471000,     -    
--x --o -x-, -7.471000, -7.471000,     -    , -7.471000, -0.246610,     -    , -7.471000,     -    , -7.471000
--x --o oxx, -0.181000, -0.181000,     -    ,  7.190000, -0.181000,     -    ,     -    ,     -    ,     -    
--x --o x--, -9.100000, -9.100000,     -    , -9.100000, -0.246610,     -    ,     -    , -9.100000, -9.100000
--x --o xox, -9.100000, -9.100000,     -    , -9.100000,  7.190000,     -    ,     -    ,     -    ,     -    
--x --o xxo, -9.100000, -9.100000,     -    , -9.100000,  7.190000,     -    ,     -    ,     -    ,     -    
--x --x --o, -7.471000, -7.471000,     -    , -0.246610, -0.246610,     -    ,  5.723900,  5.723900,     -    
--x --x -o-, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    , -9.100000,     -    ,  5.723900
--x --x o--, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    , -9.100000,  5.723900
--x --x oxo,  7.190000, -0.181000,     -    , -0.181000, -0.181000,     -    ,     -    ,     -    ,     -    
--x --x xoo, -9.100000, -9.100000,     -    , -9.100000,  7.190000,     -    ,     -    ,     -    ,     -    
--x -o- --x, -9.100000, -9.100000,     -    , -9.100000,     -    , -0.246610, -9.100000, -9.100000,     -    
--x -o- -x-, -7.471000, -7.471000,     -    , -0.246610,     -    , -0.246610, -0.246610,     -    , -0.246610
--x -o- oxx, -9.100000, -9.100000,     -    , -9.100000,     -    , -0.181000,     -    ,     -    ,     -    
--x -o- x--, -7.471000, -0.246610,     -    , -0.246610,     -    , -0.246610,     -    , -0.246610, -7.471000
--x -o- xox, -9.100000,  9.000000,     -    , -9.100000,     -    ,  7.190000,     -    ,     -    ,     -    
--x -o- xxo,  9.000000, -0.181000,     -    ,  7.190000,     -    ,  7.190000,     -    ,     -    ,     -    
--x -oo -xx, -9.100000, -9.100000,     -    ,  9.000000,     -    ,     -    , -0.181000,     -    ,     -    
--x -oo x-x, -9.100000, -9.100000,     -    ,  9.000000,     -    ,     -    ,     -    ,  7.190000,     -    
--x -oo xx-, -9.100000, -9.100000,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    ,  7.190000
--x -ox ---, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000, -9.100000, -0.246610
--x -ox -xo,  9.000000, -0.181000,     -    , -0.181000,     -    ,     -    , -0.181000,     -    ,     -    
--x -ox ox-, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -0.181000
--x -ox x-o,  9.000000,  7.190000,     -    , -0.181000,     -    ,     -    ,     -    ,  7.190000,     -    
--x -ox xo-, -9.100000,  9.000000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,  7.190000
--x -x- --o, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000, -0.246610, -9.100000,     -    
--x -x- -o-, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000, -7.471000,     -    , -9.100000
--x -x- o--, -0.246610, -7.471000,     -    , -7.471000,     -    , -7.471000,     -    , -7.471000, -0.246610
--x -x- oox, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
--x -x- oxo, -9.100000, -0.181000,     -    , -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
--x -xo ---, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -7.471000, -9.100000, -9.100000
--x -xo -ox, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--x -xo -xo, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--x -xo o-x, -0.181000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000,     -    
--x -xo ox-, -9.100000, -0.181000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000
--x -xx -oo, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    
--x -xx o-o, -9.100000, -9.100000,     -    ,  7.190000,     -    ,     -    ,     -    ,  9.000000,     -    
--x -xx oo-, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,  9.000000
--x o-- --x, -9.100000, -9.100000,     -    ,     -    , -9.100000, -7.471000, -9.100000, -9.100000,     -    
--x o-- -x-, -7.471000, -7.471000,     -    ,     -    , -0.246610, -7.471000, -6.151510,     -    , -7.471000
--x o-- oxx,  9.000000, -9.100000,     -    ,     -    , -9.100000,  7.190000,     -    ,     -    ,     -    
--x o-- x--, -9.100000, -9.100000,     -    ,     -    , -0.246610, -9.100000,     -    , -9.100000, -9.100000
--x o-- xox, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    ,     -    
--x o-- xxo, -9.100000, -9.100000,     -    ,     -    ,  7.190000, -9.100000,     -    ,     -    ,     -    
