State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
oox x-- oxx,     -    ,     -    ,     -    ,     -    , -9.100000, -0.100000,     -    ,     -    ,     -    
oox x-- x--,     -    ,     -    ,     -    ,     -    ,  7.190000, -9.100000,     -    , -9.100000, -9.100000
oox x-- xox,     -    ,     -    ,     -    ,     -    ,  9.000000, -9.100000,     -    ,     -    ,     -    
oox x-- xxo,     -    ,     -    ,     -    ,     -    ,  9.000000, -9.100000,     -    ,     -    ,     -    
oox x-o -xx,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -0.100000,     -    ,     -    
oox x-o x-x,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,     -    
oox x-o xx-,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000
oox x-x ---,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000, -9.100000
oox x-x -xo,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    , -9.100000,     -    ,     -    
oox x-x ox-,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000
oox x-x x-o,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    , -9.100000,     -    
oox x-x xo-,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    , -9.100000
oox xo- -xx,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    
oox xo- x-x,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,  9.000000,     -    
oox xo- xx-,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,  9.000000
oox xox -x-,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,  9.000000
oox xox x--,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000,  9.000000
oox xx- ---,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000, -9.100000, -9.100000
oox xx- -ox,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    
oox xx- -xo,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    
oox xx- o-x,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000,     -    , -9.100000,     -    
oox xx- ox-,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000,     -    ,     -    , -9.100000
oox xxo --x,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000, -9.100000,     -    
oox xxo -x-,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000,     -    , -9.100000
ox- --- --x,     -    ,     -    , -7.471000, -6.151510, -0.246610, -7.471000, -0.246610, -0.246610,     -    
ox- --- -x-,     -    ,     -    , -9.100000, -9.100000,  5.723900, -9.100000, -9.100000,     -    , -9.100000
ox- --- oxx,     -    ,     -    , -9.100000,  9.000000,  7.190000, -9.100000,     -    ,     -    ,     -    
ox- --- x--,     -    ,     -    , -7.471000, -7.471000, -0.246610, -7.471000,     -    , -0.246610, -7.471000
ox- --- xox,     -    ,     -    , -0.181000, -7.471000, -0.181000, -0.181000,     -    ,     -    ,     -    
ox- --- xxo,     -    ,     -    , -9.100000, -9.100000,  9.000000, -9.100000,     -    ,     -    ,     -    
ox- --o -xx,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    
ox- --o x-x,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    ,     -    , -0.181000,     -    
